year,make,model,trim,exterior_color,interior_color,drivetrain,fuel_type,transmission,mileage,in_accident,1_owner,personal_used,price
2020,Acura,MDX,3.5L Technology & A-Spec Pkgs,Platinum White Pearl,Red,All-wheel Drive,Gasoline,9-Speed Automatic,40612,FALSE,TRUE,TRUE,38333
2017,Acura,MDX,3.5L w/Advance Package,White Diamond Pearl,Parchment,All-wheel Drive,Gasoline,9-Speed Automatic,52269,TRUE,TRUE,TRUE,29399
2020,Acura,RDX,Base,Gunmetal Metallic,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,22815,TRUE,TRUE,TRUE,32395
2020,Acura,RDX,Technology Package,Platinum White Pearl,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,28529,FALSE,TRUE,TRUE,32900
2022,Acura,RDX,A-Spec Advance Package,Majestic Black Pearl,Ebony,All-wheel Drive,Gasoline,Automatic,4158,FALSE,FALSE,FALSE,50960
2020,Acura,RDX,A-Spec,Majestic Black Pearl,Red,Front-wheel Drive,Gasoline,10-Speed Automatic,2117,FALSE,TRUE,TRUE,39990
2021,Acura,RDX,Technology Package,Modern Steel Metallic,Ebony,All-wheel Drive,Gasoline,10-Speed Automatic,13320,FALSE,TRUE,TRUE,40698
2020,Acura,RDX,A-Spec,Apex Blue Pearl,Ebony,All-wheel Drive,Gasoline,10-Speed Automatic,41503,FALSE,TRUE,TRUE,36959
2022,Acura,RDX,Technology Package,Liquid,Ebony,Front-wheel Drive,Gasoline,Automatic,5852,FALSE,FALSE,FALSE,44003
2022,Acura,RDX,A-Spec,Performance Red Pearl,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,9916,FALSE,TRUE,TRUE,43995
2022,Acura,RDX,Advance Package,Apex Blue Pearl,Ebony,All-wheel Drive,Gasoline,10-Speed Automatic,1877,FALSE,TRUE,TRUE,48991
2020,Acura,MDX,3.5L Technology & A-Spec Pkgs,Premium White,Red,All-wheel Drive,Gasoline,Automatic,22796,FALSE,TRUE,TRUE,40133
2020,Acura,MDX,3.5L,Blue,Ebony,Front-wheel Drive,Gasoline,Automatic,64908,FALSE,TRUE,TRUE,34869
2020,Acura,MDX,3.5L w/Technology Package,Platinum White Pearl,Parchment,Front-wheel Drive,Gasoline,9-Speed Automatic,21154,FALSE,TRUE,TRUE,37990
2020,Acura,MDX,3.5L,Modern Steel Metallic,Ebony,All-wheel Drive,Gasoline,9-Speed Automatic,36936,FALSE,TRUE,TRUE,35991
2020,Acura,RDX,Base,Gray,Graystone,Front-wheel Drive,Gasoline,10-Speed Automatic,23626,FALSE,TRUE,TRUE,31899
2010,Acura,TSX,Technology,White,Ebony,Front-wheel Drive,Gasoline,5-Speed Automatic,168546,FALSE,FALSE,FALSE,9999
2020,Acura,ILX,Premium & A-SPEC Packages,Gray,Red,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,31343,FALSE,TRUE,FALSE,30995
2020,Acura,MDX,3.5L,Red,Parchment,All-wheel Drive,Gasoline,Automatic,35825,FALSE,TRUE,TRUE,38262
2014,Acura,RDX,Technology,Graphite Luster Metallic,Ebony,Front-wheel Drive,Gasoline,6-Speed Automatic,130009,FALSE,FALSE,TRUE,14300
2020,Acura,RDX,Base,Platinum White Pearl,Ebony,All-wheel Drive,Gasoline,10-Speed Automatic,35493,FALSE,TRUE,TRUE,33952
2020,Acura,MDX,3.5L w/Advance Package,Platinum White,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,40993,FALSE,TRUE,TRUE,38995
2009,Acura,TSX,Technology,GRAY,BLACK,Front-wheel Drive,Gasoline,Automatic,118613,FALSE,FALSE,TRUE,9955
2014,Acura,MDX,3.5L Technology Package,White,Sport,Front-wheel Drive,Gasoline,6-Speed Automatic,124474,TRUE,FALSE,TRUE,15995
2015,Acura,MDX,3.5L Technology Package,Black,Black,Front-wheel Drive,Gasoline,6-Speed Automatic,63115,TRUE,FALSE,TRUE,19599
2019,Acura,MDX,3.5L w/Technology Package,White,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,24451,FALSE,TRUE,TRUE,33998
2022,Acura,MDX,Technology,Black,Tan,All-wheel Drive,Gasoline,10-Speed Automatic,13633,FALSE,TRUE,TRUE,48999
2018,Acura,RDX,Base,Crystal Black Pearl,Ebony,FWD,Gasoline,6-Speed Automatic,60695,FALSE,FALSE,TRUE,23551
2019,Acura,RDX,Technology Package,Black,Ebony,All-wheel Drive,Gasoline,10-Speed Automatic,63588,FALSE,TRUE,TRUE,27888
2013,Acura,RDX,Base,Gray,Ebony,Front-wheel Drive,Gasoline,6-Speed Automatic,91233,FALSE,TRUE,TRUE,16777
2011,Acura,MDX,3.7L Advance,Silver,Ebony,All-wheel Drive,Gasoline,6-Speed Automatic,164510,TRUE,FALSE,TRUE,9995
2013,Acura,ILX,2.0L Technology,Amber Brownstone Metallic,Ebony,Front-wheel Drive,Gasoline,Automatic,82370,TRUE,FALSE,TRUE,10995
2015,Acura,MDX,3.5L,Crystal Black Pearl,Gray,All-wheel Drive,Gasoline,6-Speed Automatic,177586,TRUE,FALSE,TRUE,12995
2018,Acura,ILX,,Modern Steel Metallic,Ebony,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,85424,TRUE,FALSE,TRUE,14995
